outer_split_id,inner_split_id,datetime,source_fold,reason
split_001,split_001_inner_001,2022-09-20,train,inner_embargo
split_001,split_001_inner_001,2022-09-21,train,inner_embargo
split_001,split_001_inner_001,2022-09-22,train,inner_embargo
split_001,split_001_inner_001,2022-09-23,train,inner_embargo
split_001,split_001_inner_001,2022-09-26,train,inner_embargo
split_001,split_001_inner_001,2022-09-27,train,inner_embargo
split_001,split_001_inner_001,2022-09-28,train,inner_embargo
split_001,split_001_inner_001,2022-09-29,train,inner_embargo
split_001,split_001_inner_001,2022-09-30,train,inner_embargo
split_001,split_001_inner_001,2022-10-10,train,inner_embargo
split_001,split_001_inner_001,2022-10-11,train,inner_embargo
split_001,split_001_inner_001,2022-10-12,train,inner_embargo
split_001,split_001_inner_001,2022-10-13,train,inner_embargo
split_001,split_001_inner_001,2022-10-14,train,inner_embargo
split_001,split_001_inner_001,2022-10-17,train,inner_embargo
split_001,split_001_inner_001,2022-10-18,train,inner_embargo
split_001,split_001_inner_001,2022-10-19,train,inner_embargo
split_001,split_001_inner_001,2022-10-20,train,inner_embargo
split_001,split_001_inner_001,2022-10-21,train,inner_embargo
split_001,split_001_inner_001,2022-10-24,train,inner_embargo
split_001,split_001_inner_001,2023-01-19,validation,inner_embargo
split_001,split_001_inner_001,2023-01-20,validation,inner_embargo
split_001,split_001_inner_001,2023-01-30,validation,inner_embargo
split_001,split_001_inner_001,2023-01-31,validation,inner_embargo
split_001,split_001_inner_001,2023-02-01,validation,inner_embargo
split_001,split_001_inner_001,2023-02-02,validation,inner_embargo
split_001,split_001_inner_001,2023-02-03,validation,inner_embargo
split_001,split_001_inner_001,2023-02-06,validation,inner_embargo
split_001,split_001_inner_001,2023-02-07,validation,inner_embargo
split_001,split_001_inner_001,2023-02-08,validation,inner_embargo
split_001,split_001_inner_001,2023-02-09,validation,inner_embargo
split_001,split_001_inner_001,2023-02-10,validation,inner_embargo
split_001,split_001_inner_001,2023-02-13,validation,inner_embargo
split_001,split_001_inner_001,2023-02-14,validation,inner_embargo
split_001,split_001_inner_001,2023-02-15,validation,inner_embargo
split_001,split_001_inner_001,2023-02-16,validation,inner_embargo
split_001,split_001_inner_001,2023-02-17,validation,inner_embargo
split_001,split_001_inner_001,2023-02-20,validation,inner_embargo
split_001,split_001_inner_001,2023-02-21,validation,inner_embargo
split_001,split_001_inner_001,2023-02-22,validation,inner_embargo
split_001,split_001_inner_002,2023-04-06,train,inner_embargo
split_001,split_001_inner_002,2023-04-07,train,inner_embargo
split_001,split_001_inner_002,2023-04-10,train,inner_embargo
split_001,split_001_inner_002,2023-04-11,train,inner_embargo
split_001,split_001_inner_002,2023-04-12,train,inner_embargo
split_001,split_001_inner_002,2023-04-13,train,inner_embargo
split_001,split_001_inner_002,2023-04-14,train,inner_embargo
split_001,split_001_inner_002,2023-04-17,train,inner_embargo
split_001,split_001_inner_002,2023-04-18,train,inner_embargo
split_001,split_001_inner_002,2023-04-19,train,inner_embargo
split_001,split_001_inner_002,2023-04-20,train,inner_embargo
split_001,split_001_inner_002,2023-04-21,train,inner_embargo
split_001,split_001_inner_002,2023-04-24,train,inner_embargo
