field_or_dataset,provider,api,frequency,history_start,update_time,PIT_semantics,adjustment_semantics,coverage,reliability,recommended_use,history_end,announcement_timestamp_available,revision_semantics,permission_required,current_account_accessible,rate_limit,storage_estimate,probe_status,official_source,doc_id,pit_semantics,bootstrap_strategy
ohlcva_vwap_daily,community_derived_qlib,local_provider,daily,provider_dependent,release_or_daily_update,same_day_market_observation,raw_plus_adjclose_and_factor,6106_instrument_directories_at_v3_6_audit,high_for_existing_history,authoritative_price_volume_amount_vwap,current_local_snapshot,False,provider_release_snapshot,none_local,True,local_io,existing_provider_no_incremental_v2_cost,verified_local_inventory,docs/_archive/02_data_layer_history/PROVIDER_DATA_CAPABILITY_V3_6.md,,,
point_in_time_instrument_intervals,community_derived_qlib,instrument_files,interval,provider_dependent,release_or_daily_update,effective_from_to_intervals,not_applicable,all_stock_shsz_and_major_index_universes,high_with_existing_universe_audits,authoritative_membership_and_listing_proxy,current_local_snapshot,False,provider_release_snapshot,none_local,True,local_io,existing_provider_no_incremental_v2_cost,verified_local_inventory,docs/_archive/02_data_layer_history/PROVIDER_DATA_CAPABILITY_V3_6.md,,,
daily_basic,tushare,daily_basic,daily,1990s_provider_dependent,15:00-17:00,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,turnover_size_value_daily,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=32,32.0,same_trade_date_after_close,by_trade_date
adj_factor,tushare,adj_factor,daily,full_history,daily,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,adjustment_cross_check,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=28,28.0,same_trade_date_after_close_revision_sensitive,by_ts_code_or_trade_date
moneyflow,tushare,moneyflow,daily,2010,after_close,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,order_size_flow,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=170,170.0,same_trade_date_after_close,by_trade_date
income,tushare,income,quarterly,full_history,realtime_with_filings,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,pit_fundamentals,current,True,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=33,33.0,f_ann_date_then_ann_date,by_ts_code
balancesheet,tushare,balancesheet,quarterly,full_history,realtime_with_filings,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,pit_fundamentals,current,True,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=36,36.0,f_ann_date_then_ann_date,by_ts_code
cashflow,tushare,cashflow,quarterly,full_history,realtime_with_filings,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,pit_fundamentals,current,True,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=44,44.0,f_ann_date_then_ann_date,by_ts_code
fina_indicator,tushare,fina_indicator,quarterly,full_history,realtime_with_filings,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,pit_ratios_with_statement_cross_check,current,True,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=79,79.0,ann_date_only_and_revision_sensitive,by_ts_code
forecast,tushare,forecast,event,full_history,realtime,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,pit_event_candidate,current,True,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_empty,https://tushare.pro/document/2?doc_id=45,45.0,ann_date,by_ts_code
