artifact_type,artifact_id,artifact_path,status,model_input_allowed,authoritative_evidence,superseded_by,reason
universe,point_in_time_universe_v1:fd474dd597b3a967d9af3d8ae4dd47e086da0d30e8387e2ac2df622aa481d07f,outputs/point_in_time_universe_v1/full_research/artifact_manifest.json,superseded,False,False,point_in_time_universe_v2:325e39d7dd68afe0828154840b813287d0bf991487a42ed51a7d6476e85d7838,Universe v1 emitted 29 membership intervals extending beyond source lifecycle and 329 illegal date-instrument keys.
matrix,full_research_feature_matrix_v1:c7a37c0c6031ac99b3260ab6141e4a2353eb115b1653d8fb23a5e0cc0924b0bf,outputs/full_research_feature_matrix_669_v1/current/artifact_manifest.json,superseded,False,False,full_research_feature_matrix_v4:10f6e026d5c6c13eda166f702fb2bae2e7ca76c6747bd9e9482ee482e605df1d,PIT lifecycle contains illegal keys and cross-sectional contamination requires dependency-aware recomputation.
labels,full_research_labels_v1:dbf1bcdddbc980c29b7e2fc1483258f75498990c7235c42338acfd032481a9b8,outputs/full_research_labels_669_v1/current/artifact_manifest.json,superseded,False,False,full_research_labels_v2:404fe40807d674d4ec5fc7b7b0727c4e679bec6ddaa2c00d967eaeb08c80102b,Labels must be rematerialized on lifecycle-clean keys with an explicit calendar-continuity contract.
daily_ic,full_research_daily_ic_v1:f3d793e18871524ec153ab81ba431c6cc51fc31255c8ab73c86113179b019e9f,outputs/full_research_daily_ic_669_v1/current/artifact_manifest.json,superseded,False,False,full_research_daily_ic_v2:3e20d76d7473953d81408d5a229af27d84f9c4c93cad10f4a7b5d12eff35eea7,Label ranks were not recomputed on each factor-label pairwise-valid cross-section.
fdr,factor_multiple_testing_v1:3a6d172f56c502a66cb19e8df31fc2202a7d62490de0fd7b0cd317ac0dd97726,outputs/factor_multiple_testing_v1/full_research_669/artifact_manifest.json,superseded,False,False,factor_multiple_testing_v2:bccfb0ee4f17d279071505c5c29a0b8b52d1f220113b07b1ed1ea4cbda9f9275,Upstream Matrix/Labels/IC and bootstrap-gap policy were corrected; the former FDR is non-authoritative.
stability,factor_rolling_stability_v1:287ba56893bed56f32e0bd11b8dc2624bb11b236e33b44bde7a834462823ccdb,outputs/factor_rolling_stability_v1/full_research_669/artifact_manifest.json,superseded,False,False,pending_accuracy_corrected_stability,Stability must consume corrected FDR and IC evidence.
clustering,factor_clustering_v1:10cbf85ad60149fd8c91940fafa1390bd38a947f7dc0ca4fb245f250cf9361d3,outputs/factor_clustering_v1/full_research_669/artifact_manifest.json,superseded,False,False,pending_accuracy_corrected_clustering,Clustering inputs depend on the corrected matrix and IC chain.
allowlist,split_specific_allowlist_v1:82dc8e41976ce8da225d46573971ed73b21432262b4c2726df2e89423dd10236,outputs/split_specific_allowlist_v1/full_research_669/artifact_manifest.json,superseded,False,False,pending_matrix_v4_split_allowlists,The 48/46/54 selections are not eligible for model input after the accuracy audit.
weights,split_transparent_weights_v1:87721e9d936aed56e5e144213074f77b7ef131c77a0862f297dc9e82d16a14c1,outputs/split_transparent_weights_v1/full_research_669/artifact_manifest.json,superseded,False,False,pending_accuracy_corrected_weights,Weights depend on superseded allowlists and score-component policy is not frozen.
freeze,pre_test_freeze_v1:87ad590b1c82c5a31d8d9b51b0377fd1e2d797954e0a4fb6d2882537d1d0ecd5,outputs/pre_test_freeze_v1/full_research_669/artifact_manifest.json,superseded,False,False,pending_bugfix_research_freeze_v1,Historical tests have already been observed and cannot be represented as a new untouched pre-test freeze.
score,split_transparent_score_v1:aacb393012c47a879ba54d3d818612e013e3a7297e62a4aa283f827796401b19,outputs/split_transparent_score_v1/full_research_669/artifact_manifest.json,superseded,False,False,pending_accuracy_corrected_transparent_score,Scores depend on superseded allowlists/weights and an unfrozen component-completeness policy.
execution,qlib_exchange_split_transparent_v1:546eb922235106df89f5ddade4db5494001def2008d3f593356038bab76cb22b,outputs/qlib_exchange_split_transparent_v1/full_research_669/artifact_manifest.json,non_authoritative,False,False,pending_execution_accuracy_correction_v1,Same-day market-field timing fee schedule and stale valuation semantics invalidate authoritative execution use.
historical_oos_nav,qlib_exchange_split_transparent_v1:546eb922235106df89f5ddade4db5494001def2008d3f593356038bab76cb22b,outputs/qlib_exchange_split_transparent_v1/full_research_669/daily_accounting.csv,non_authoritative,False,False,pending_post_observation_bugfix_oos_evidence,Historical test is already observed and the current NAV is affected by research and execution accuracy defects.
