cluster_id,representative_factor,factor_count,factors,selection_policy
C001,alpha158_CNTP10,3,"alpha158_CNTD10,alpha158_CNTN10,alpha158_CNTP10","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C002,alpha158_CNTP20,3,"alpha158_CNTD20,alpha158_CNTN20,alpha158_CNTP20","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C003,alpha158_CNTN30,3,"alpha158_CNTD30,alpha158_CNTN30,alpha158_CNTP30","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C004,alpha158_CNTP5,2,"alpha158_CNTD5,alpha158_CNTP5","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C005,alpha158_CNTN60,3,"alpha158_CNTD60,alpha158_CNTN60,alpha158_CNTP60","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C006,alpha158_KMID2,3,"alpha158_KMID,alpha158_KMID2,alpha158_OPEN0","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C007,alpha158_VWAP0,2,"alpha158_KSFT,alpha158_VWAP0","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C008,alpha158_QTLD10,3,"alpha158_MA10,alpha158_QTLD10,alpha158_QTLU10","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C009,alpha158_QTLD30,10,"alpha158_MA20,alpha158_MA30,alpha158_QTLD20,alpha158_QTLD30,alpha158_QTLU20,alpha158_QTLU30,alpha158_ROC20,alpha158_SUMD20,alpha158_SUMN20,alpha158_SUMP20","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C010,alpha158_QTLD5,3,"alpha158_MA5,alpha158_QTLD5,alpha158_QTLU5","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C011,alpha158_QTLD60,5,"alpha158_MA60,alpha158_QTLD60,alpha158_QTLU60,alpha158_RANK60,alpha158_RSV60","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C012,alpha158_MIN30,2,"alpha158_MIN20,alpha158_MIN30","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C013,alpha158_RANK30,4,"alpha158_RANK20,alpha158_RANK30,alpha158_RSV20,alpha158_RSV30","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C014,alpha158_ROC10,4,"alpha158_ROC10,alpha158_SUMD10,alpha158_SUMN10,alpha158_SUMP10","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C015,alpha158_ROC30,4,"alpha158_ROC30,alpha158_SUMD30,alpha158_SUMN30,alpha158_SUMP30","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C016,alpha158_ROC60,4,"alpha158_ROC60,alpha158_SUMD60,alpha158_SUMN60,alpha158_SUMP60","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C017,alpha158_SUMP5,3,"alpha158_SUMD5,alpha158_SUMN5,alpha158_SUMP5","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C018,alpha158_VMA20,2,"alpha158_VMA20,alpha158_VMA30","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C019,alpha158_VSUMN10,3,"alpha158_VSUMD10,alpha158_VSUMN10,alpha158_VSUMP10","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C020,alpha158_VSUMN20,3,"alpha158_VSUMD20,alpha158_VSUMN20,alpha158_VSUMP20","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C021,alpha158_VSUMP30,3,"alpha158_VSUMD30,alpha158_VSUMN30,alpha158_VSUMP30","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C022,alpha158_VSUMD5,3,"alpha158_VSUMD5,alpha158_VSUMN5,alpha158_VSUMP5","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
C023,alpha158_VSUMN60,3,"alpha158_VSUMD60,alpha158_VSUMN60,alpha158_VSUMP60","ordered:signal_label,issues,direction_agreement,rank_ic,icir,turnover,coverage"
