factor_name,source,source_family,source_citations,definition,economic_rationale,required_fields,economic_family,economic_subfamily,secondary_family,pit_implications,evidence_tier,implementation_status,compute_adapter,candidate_decision,decision_reason
mature_momentum_12_1,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,close[t-21]/close[t-252]-1,Intermediate-horizon price persistence with the most recent month skipped.,"$close,$market_return,$open,$high,$low,$amount,$vwap",MomentumTrend,IntermediateMomentum,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_reversal_1m,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,-(close/close[t-21]-1),Captures the short-horizon reversal documented as unusually relevant in A shares.,"$close,$market_return,$open,$high,$low,$amount,$vwap",Reversal,ShortTermReversal,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_high_52w,academic_and_industry_mature,MaturePublic,https://doi.org/10.1111/j.1540-6261.2004.00695.x;https://doi.org/10.1016/j.pacfin.2021.101607,close/rolling_max_252(close),Distance from the 52-week high is a mature price-anchor signal.,"$close,$market_return,$open,$high,$low,$amount,$vwap",MomentumTrend,PriceAnchor,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_overnight_return_20,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607,mean_20(open/previous_close-1),Separates overnight information and retail-driven price pressure from the intraday leg.,"$open,$close,$market_return,$high,$low,$amount,$vwap",Reversal,Overnight,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_intraday_return_20,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607,mean_20(close/open-1),Separates within-session price pressure from overnight moves.,"$open,$close,$market_return,$high,$low,$amount,$vwap",TradingBehavior,Intraday,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_max_daily_return_21,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650;https://doi.org/10.1016/j.pacfin.2021.101607,max_21(daily_return),Recent maximum return captures lottery-like payoff exposure.,"$close,$market_return,$open,$high,$low,$amount,$vwap",VolatilityRisk,LotteryPreference,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_realized_volatility_60,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650;https://doi.org/10.1016/j.pacfin.2021.101607,std_60(daily_return),Mature total-risk exposure and A-share risk-anomaly candidate.,"$close,$market_return,$open,$high,$low,$amount,$vwap",VolatilityRisk,TotalVolatility,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_downside_volatility_60,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650;https://doi.org/10.1016/j.pacfin.2021.101607,std_60(negative_daily_returns),Focuses on adverse rather than symmetric return variation.,"$close,$market_return,$open,$high,$low,$amount,$vwap",VolatilityRisk,DownsideRisk,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_return_skewness_60,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,skew_60(daily_return),Captures asymmetric lottery and crash-like return distributions.,"$close,$market_return,$open,$high,$low,$amount,$vwap",VolatilityRisk,HigherMoment,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_parkinson_volatility_20,academic_and_industry_mature,MaturePublic,https://doi.org/10.1086/296071,sqrt(mean_20(log(high/low)^2)/(4*log(2))),Uses the intraday range for a mature volatility estimator.,"$high,$low,$close,$market_return,$open,$amount,$vwap",VolatilityRisk,RangeVolatility,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_max_drawdown_60,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,min_60(close/running_max(close)-1),Measures realized path-dependent downside exposure.,"$close,$market_return,$open,$high,$low,$amount,$vwap",VolatilityRisk,Drawdown,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_amihud_illiquidity_20,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/S1386-4181(01)00024-6;https://doi.org/10.1108/20441391111092264,mean_20(abs(return)/amount_cny),Daily price response per currency volume is a classic low-frequency price-impact proxy.,"$amount,$close,$market_return,$open,$high,$low,$vwap",Liquidity,VolumePriceImpact,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_amount_momentum_20,academic_and_industry_mature,MaturePublic,https://arxiv.org/abs/1601.00991;https://doi.org/10.1016/j.pacfin.2021.101607,amount/mean(previous_20_amount)-1,Detects abnormal trading value without substituting share volume for amount.,"$amount,$close,$market_return,$open,$high,$low,$vwap",Liquidity,AmountState,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_vwap_deviation,academic_and_industry_mature,MaturePublic,https://arxiv.org/abs/1601.00991;https://qlib.readthedocs.io/en/latest/advanced/alpha.html,close/vwap-1,Direct canonical close-to-VWAP pressure measure.,"$vwap,$close,$market_return,$open,$high,$low,$amount",TradingBehavior,VWAPDeviation,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_vwap_deviation_20,academic_and_industry_mature,MaturePublic,https://arxiv.org/abs/1601.00991;https://qlib.readthedocs.io/en/latest/advanced/alpha.html,mean_20(close/vwap-1),Persistent close-to-VWAP pressure rather than a volume proxy.,"$vwap,$close,$market_return,$open,$high,$low,$amount",TradingBehavior,VWAPDeviation,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_market_beta_60,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,"cov_60(stock_return,market_return)/var_60(market_return)",Systematic market-risk exposure used by mature industrial factor models.,"$close,$market_return,$open,$high,$low,$amount,$vwap",VolatilityRisk,MarketBeta,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_idiosyncratic_volatility_60,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650;https://doi.org/10.1016/j.pacfin.2021.101607,std_60(stock_return-beta_60*market_return),Residual risk is distinct from total volatility and has A-share-specific evidence.,"$close,$market_return,$open,$high,$low,$amount,$vwap",VolatilityRisk,ResidualVolatility,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_market_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_log_total_market_cap,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w24458;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,log(total_mv),Canonical size exposure.,total_mv,Size,TotalSize,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_log_float_market_cap,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w24458;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,log(circ_mv),Tradable-float size is distinct in the partially floating A-share market.,circ_mv,Size,FloatSize,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_float_market_cap_ratio,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w24458,circ_mv/total_mv,Captures the tradable-float share of company value.,"circ_mv,total_mv",Size,FloatStructure,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_earnings_yield_ttm,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w24458;https://doi.org/10.1016/j.pacfin.2021.101607,1/pe_ttm for positive pe_ttm,Earnings-to-price is the preferred China value signal in the CH-3 evidence.,pe_ttm,Value,EarningsYield,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_book_to_price,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w24458;https://doi.org/10.1016/j.pacfin.2021.101607,1/pb for positive pb,Classic value exposure retained as a separate candidate.,pb,Value,BookToPrice,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_sales_to_price_ttm,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,1/ps_ttm for positive ps_ttm,Sales-based value is less affected by negative earnings.,ps_ttm,Value,SalesToPrice,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_dividend_yield_ttm,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650;https://doi.org/10.1016/j.pacfin.2021.101607,dv_ttm/100,Mature shareholder-yield component.,dv_ttm,Value,DividendYield,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_turnover_rate_free_float,academic_and_industry_mature,MaturePublic,https://doi.org/10.1108/20441391111092264;https://www.nber.org/papers/w24458,turnover_rate_f/100,Turnover is specifically supported as a China-market liquidity proxy.,turnover_rate_f,Liquidity,Turnover,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_turnover_mean_20,academic_and_industry_mature,MaturePublic,https://doi.org/10.1108/20441391111092264;https://www.nber.org/papers/w24458,mean_20(turnover_rate_f/100),Persistent turnover level captures liquidity and speculative trading.,turnover_rate_f,Liquidity,TurnoverLevel,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_turnover_volatility_20,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607,std_20(turnover_rate_f/100),Separates unstable liquidity from average liquidity.,turnover_rate_f,Liquidity,LiquidityVolatility,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_abnormal_turnover_20,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w24458,turnover_t/mean(previous_20_turnover)-1,Abnormal turnover is a China-specific sentiment/trading axis.,turnover_rate_f,TradingBehavior,AbnormalTurnover,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_volume_ratio,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.pacfin.2021.101607,Tushare volume_ratio,Provider-defined current-to-recent volume ratio.,volume_ratio,Liquidity,RelativeVolume,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_daily_basic_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_overall_order_imbalance,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,(all_buy_amount-all_sell_amount)/(all_buy_amount+all_sell_amount),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,OrderImbalance,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_small_order_imbalance,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,(small_buy-small_sell)/(small_buy+small_sell),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,RetailFlow,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_medium_order_imbalance,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,(medium_buy-medium_sell)/(medium_buy+medium_sell),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,MediumOrderFlow,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_large_order_imbalance,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,(large_buy-large_sell)/(large_buy+large_sell),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,LargeOrderFlow,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_extra_large_order_imbalance,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,(extra_large_buy-extra_large_sell)/(extra_large_buy+extra_large_sell),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,ExtraLargeOrderFlow,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_institutional_order_imbalance,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,(large_and_extra_large_buy-sell)/(large_and_extra_large_buy+sell),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,InstitutionalFlowProxy,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_net_flow_to_traded_amount,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,net_mf_amount_cny/traded_amount_cny,Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,NetFlow,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_net_flow_persistence_5,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,mean_5(net_flow_to_traded_amount),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,NetFlowPersistence,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
