instrument,date,quote_status,observed_status,terminal_candidate_gap,unexplained_reference_reset
SH600008,2020-09-29,cross_source_agreed,ordinary,False,True
SH600030,2022-01-27,cross_source_agreed,ordinary,False,True
SH600057,2017-12-28,cross_source_agreed,ordinary,False,True
SH600081,2023-08-10,cross_source_agreed,ordinary,False,True
SH600089,2017-06-09,cross_source_agreed,ordinary,False,True
SH600113,2019-03-06,cross_source_agreed,ordinary,False,True
SH600145,2020-06-30,cross_source_agreed,ST,False,True
SH600219,2018-11-01,cross_source_agreed,ordinary,False,True
SH600360,2019-04-15,cross_source_agreed,ordinary,False,True
SH600380,2018-10-16,cross_source_agreed,ordinary,False,True
SH600405,2017-06-08,cross_source_agreed,ordinary,False,True
SH600419,2020-01-14,cross_source_agreed,ordinary,False,True
SH600459,2019-03-01,cross_source_agreed,ordinary,False,True
SH600459,2022-12-22,cross_source_agreed,ordinary,False,True
SH600480,2019-06-20,cross_source_agreed,ordinary,False,True
SH600483,2019-08-02,cross_source_agreed,ordinary,False,True
SH600489,2016-05-24,cross_source_agreed,ordinary,False,True
SH600710,2017-07-31,cross_source_agreed,special_or_rule_conflict,False,True
SH600743,2016-07-21,cross_source_agreed,ordinary,False,True
SH600803,2018-02-12,cross_source_agreed,ordinary,False,True
SH600888,2021-04-21,cross_source_agreed,ordinary,False,True
SH600909,2021-06-10,cross_source_agreed,ordinary,False,True
SH600919,2020-12-17,cross_source_agreed,ordinary,False,True
SH600958,2022-04-29,cross_source_agreed,ordinary,False,True
SH600999,2020-07-20,cross_source_agreed,ordinary,False,True
SH601012,2019-04-17,cross_source_agreed,ordinary,False,True
SH601015,2021-07-08,cross_source_agreed,ordinary,False,True
SH601016,2022-11-28,cross_source_agreed,ordinary,False,True
SH601099,2016-01-25,cross_source_agreed,ordinary,False,True
SH601108,2022-04-12,cross_source_agreed,ordinary,False,True
SH601162,2020-03-19,cross_source_agreed,ordinary,False,True
SH601236,2021-08-04,cross_source_agreed,ordinary,False,True
SH601377,2016-01-07,cross_source_agreed,ordinary,False,True
SH601377,2022-08-25,cross_source_agreed,ordinary,False,True
SH601555,2020-03-23,cross_source_agreed,ordinary,False,True
SH601555,2021-12-23,cross_source_agreed,ordinary,False,True
SH601916,2023-06-27,cross_source_agreed,ordinary,False,True
SH603269,2020-07-28,cross_source_agreed,ordinary,False,True
SH603633,2020-07-21,cross_source_agreed,ordinary,False,True
SH603636,2018-03-21,cross_source_agreed,ordinary,False,True
SZ000049,2023-12-08,cross_source_agreed,ordinary,False,True
SZ000065,2022-04-14,cross_source_agreed,ordinary,False,True
SZ000088,2020-08-19,cross_source_agreed,ordinary,False,True
SZ000404,2017-05-31,cross_source_agreed,ordinary,False,True
SZ000563,2018-07-25,cross_source_agreed,ordinary,False,True
SZ000661,2016-04-27,cross_source_agreed,ordinary,False,True
SZ000686,2016-04-15,cross_source_agreed,ordinary,False,True
SZ000728,2020-10-22,cross_source_agreed,ordinary,False,True
SZ000750,2020-01-14,cross_source_agreed,ordinary,False,True
SZ000797,2016-02-05,cross_source_agreed,ordinary,False,True
SZ000885,2020-08-13,cross_source_agreed,ordinary,False,True
SZ000901,2020-03-06,cross_source_agreed,ordinary,False,True
SZ000970,2022-02-24,cross_source_agreed,ordinary,False,True
SZ000977,2017-07-27,cross_source_agreed,ordinary,False,True
SZ000977,2020-03-19,cross_source_agreed,ordinary,False,True
SZ001872,2017-10-25,cross_source_agreed,ordinary,False,True
SZ002017,2019-02-28,cross_source_agreed,ordinary,False,True
SZ002068,2015-01-09,cross_source_agreed,ordinary,False,True
SZ002074,2017-11-27,cross_source_agreed,ordinary,False,True
SZ002101,2016-04-21,cross_source_agreed,ordinary,False,True
SZ002132,2015-04-17,cross_source_agreed,ordinary,False,True
SZ002142,2021-12-02,cross_source_agreed,ordinary,False,True
SZ002166,2019-04-17,cross_source_agreed,ordinary,False,True
SZ002185,2019-07-11,cross_source_agreed,ordinary,False,True
SZ002202,2019-03-29,cross_source_agreed,ordinary,False,True
SZ002258,2016-01-26,cross_source_agreed,ordinary,False,True
SZ002350,2018-05-28,cross_source_agreed,ordinary,False,True
SZ002363,2016-02-01,cross_source_agreed,ordinary,False,True
SZ002466,2017-12-26,cross_source_agreed,ordinary,False,True
SZ002466,2019-12-26,cross_source_agreed,ordinary,False,True
SZ002496,2015-03-24,cross_source_agreed,ordinary,False,True
SZ002500,2020-06-29,cross_source_agreed,ordinary,False,True
SZ002673,2017-04-11,cross_source_agreed,ordinary,False,True
SZ002682,2015-07-03,cross_source_agreed,ordinary,False,True
SZ002775,2018-04-03,cross_source_agreed,ordinary,False,True
SZ002788,2020-09-17,cross_source_agreed,ordinary,False,True
SZ002884,2020-03-31,cross_source_agreed,ordinary,False,True
SZ002948,2022-01-13,cross_source_agreed,ordinary,False,True
SZ300106,2016-02-05,cross_source_agreed,ordinary,False,True
SZ300110,2018-02-09,cross_source_agreed,ordinary,False,True
SZ300121,2018-02-12,cross_source_agreed,ordinary,False,True
SZ300147,2015-06-18,cross_source_agreed,ordinary,False,True
SZ300231,2018-03-14,cross_source_agreed,ordinary,False,True
SZ300374,2017-12-27,cross_source_agreed,ordinary,False,True
SZ300387,2018-06-29,cross_source_agreed,ordinary,False,True
SZ300444,2017-08-01,cross_source_agreed,ordinary,False,True
SZ300475,2023-02-16,cross_source_agreed,ordinary,False,True
SZ300715,2019-12-30,cross_source_agreed,ordinary,False,True
SZ300772,2022-11-18,cross_source_agreed,ordinary,False,True
