outer_split_id,inner_split_id,factor,selected,selection_eligible,selection_reason,frozen_direction,fdr_bh_q_value
split_001,split_001_inner_001,alpha158_BETA10,True,True,selected,-1,0.038080731150038
split_001,split_001_inner_001,alpha158_BETA20,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_001,alpha158_BETA30,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_001,alpha158_BETA5,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_001,alpha158_BETA60,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_001,alpha158_CNTD10,False,True,fdr_not_passed,-1,0.2062706270627063
split_001,split_001_inner_001,alpha158_CNTD20,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_001,alpha158_CNTD30,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_001,alpha158_CNTD5,False,True,fdr_not_passed,-1,0.1768033946251768
split_001,split_001_inner_001,alpha158_CNTD60,False,True,fdr_not_passed,-1,0.1042209484106305
split_001,split_001_inner_001,alpha158_CNTN10,False,True,fdr_not_passed,1,0.2871287128712871
split_001,split_001_inner_001,alpha158_CNTN20,False,True,fdr_not_passed,1,0.2062706270627063
split_001,split_001_inner_001,alpha158_CNTN30,False,True,fdr_not_passed,1,0.1237623762376237
split_001,split_001_inner_001,alpha158_CNTN60,False,True,fdr_not_passed,1,0.2062706270627063
split_001,split_001_inner_001,alpha158_CNTP10,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_001,alpha158_CNTP20,True,True,selected,-1,0.038080731150038
split_001,split_001_inner_001,alpha158_CNTP30,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_001,alpha158_CNTP5,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_001,alpha158_CNTP60,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_001,alpha158_CORD10,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_001,alpha158_CORD20,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_001,alpha158_CORD30,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_001,alpha158_CORD5,True,True,selected,-1,0.038080731150038
split_001,split_001_inner_001,alpha158_CORD60,True,True,selected,-1,0.038080731150038
split_001,split_001_inner_001,alpha158_CORR10,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_002,alpha158_BETA10,True,True,selected,-1,0.038080731150038
split_001,split_001_inner_002,alpha158_BETA20,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_002,alpha158_BETA30,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_002,alpha158_BETA5,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_002,alpha158_BETA60,True,True,selected,-1,0.0275027502750275
split_001,split_001_inner_002,alpha158_CNTD10,False,True,fdr_not_passed,-1,0.2062706270627063
split_001,split_001_inner_002,alpha158_CNTD20,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_002,alpha158_CNTD30,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_002,alpha158_CNTD5,False,True,fdr_not_passed,-1,0.1768033946251768
split_001,split_001_inner_002,alpha158_CNTD60,False,True,fdr_not_passed,-1,0.1042209484106305
split_001,split_001_inner_002,alpha158_CNTN10,False,True,fdr_not_passed,1,0.2871287128712871
split_001,split_001_inner_002,alpha158_CNTN20,False,True,fdr_not_passed,1,0.2062706270627063
split_001,split_001_inner_002,alpha158_CNTN30,False,True,fdr_not_passed,1,0.1237623762376237
split_001,split_001_inner_002,alpha158_CNTN60,False,True,fdr_not_passed,1,0.2062706270627063
split_001,split_001_inner_002,alpha158_CNTP10,False,True,fdr_not_passed,-1,0.0825082508250825
split_001,split_001_inner_002,alpha158_CNTP20,True,True,selected,-1,0.038080731150038
split_001,split_001_inner_002,alpha158_CNTP30,True,True,selected,-1,0.0275027502750275
