factor,root_cause_category,root_cause,authoritative_semantics,action,resolved,remaining_risk,old_value_difference_count,new_value_difference_count
kunquant_alpha101_alpha015,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,75990,75999
kunquant_alpha101_alpha017,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,75204,75204
kunquant_alpha101_alpha034,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,73398,75366
kunquant_alpha101_alpha038,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,75169,75178
kunquant_alpha101_alpha050,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,75828,75844
kunquant_alpha101_alpha050_canonical_vwap_v2,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,75840,75969
kunquant_alpha101_alpha062,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,1208,9391
kunquant_alpha101_alpha062_canonical_vwap_v2,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,1208,9391
kunquant_alpha101_alpha077,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,56380,66488
kunquant_alpha101_alpha077_canonical_vwap_v2,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,57094,67296
kunquant_alpha101_alpha078,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,73187,73226
kunquant_alpha101_alpha078_canonical_vwap_v2,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,73186,73226
kunquant_alpha101_alpha085,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,76000,76000
kunquant_alpha101_alpha098,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,73672,73709
kunquant_alpha101_alpha098_canonical_vwap_v2,frozen_parent_implementation_bug,frozen full-horizon column axis plus upstream fillna-before-rank reactivated lifecycle-ineligible instruments,rank only the dated PIT eligible cross-section at every rank operator,correct extension with versioned PIT-rank implementation; preserve frozen parent,True,upstream formulas remain vendor-derived; rank scope is project-enforced,73670,73709
mature_accruals_to_assets,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_asset_growth_yoy,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,40,40
mature_book_leverage,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_book_to_market_pit,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_cash_ratio,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_cashflow_quality,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_cashflow_to_price_pit,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
