outer_split_id,feature_order,factor,economic_group,source,source_category,definition
split_001,0,alpha158_BETA10,Momentum / Trend,alpha158,alpha158_rolling_price,"Qlib Alpha158 expression: Slope($close, 10)/$close"
split_001,1,alpha158_BETA5,Momentum / Trend,alpha158,alpha158_rolling_price,"Qlib Alpha158 expression: Slope($close, 5)/$close"
split_001,2,alpha158_CNTD30,Reversal / Short-term Price-Volume,alpha158,alpha158_price_momentum_balance,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)"
split_001,3,alpha158_CNTP60,Reversal / Short-term Price-Volume,alpha158,alpha158_price_momentum_balance,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 60)"
split_001,4,alpha158_CORD10,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_correlation,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)"
split_001,5,alpha158_CORD20,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_correlation,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)"
split_001,6,alpha158_CORD5,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_correlation,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)"
split_001,7,alpha158_CORD60,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_correlation,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)"
split_001,8,alpha158_CORR10,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_correlation,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 10)"
split_001,9,alpha158_CORR20,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_correlation,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 20)"
split_001,10,alpha158_CORR5,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_correlation,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 5)"
split_001,11,alpha158_HIGH0,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_lag,Qlib Alpha158 expression: $high/$close
split_001,12,alpha158_IMIN20,Momentum / Trend,alpha158,alpha158_rolling_price,"Qlib Alpha158 expression: IdxMin($low, 20)/20"
split_001,13,alpha158_KLEN,Reversal / Short-term Price-Volume,alpha158,alpha158_kbar,Qlib Alpha158 expression: ($high-$low)/$open
split_001,14,alpha158_KLOW,Reversal / Short-term Price-Volume,alpha158,alpha158_kbar,"Qlib Alpha158 expression: (Less($open, $close)-$low)/$open"
split_001,15,alpha158_KMID,Reversal / Short-term Price-Volume,alpha158,alpha158_kbar,Qlib Alpha158 expression: ($close-$open)/$open
split_001,16,alpha158_KUP,Reversal / Short-term Price-Volume,alpha158,alpha158_kbar,"Qlib Alpha158 expression: ($high-Greater($open, $close))/$open"
split_001,17,alpha158_LOW0,Reversal / Short-term Price-Volume,alpha158,alpha158_price_volume_lag,Qlib Alpha158 expression: $low/$close
split_001,18,alpha158_MAX5,Momentum / Trend,alpha158,alpha158_rolling_price,"Qlib Alpha158 expression: Max($high, 5)/$close"
split_001,19,alpha158_MIN10,Momentum / Trend,alpha158,alpha158_rolling_price,"Qlib Alpha158 expression: Min($low, 10)/$close"
split_001,20,alpha158_QTLD60,Other,alpha158,alpha158_rolling_price,"Qlib Alpha158 expression: Quantile($close, 60, 0.2)/$close"
split_001,21,alpha158_RSQR30,Momentum / Trend,alpha158,alpha158_rolling_price,"Qlib Alpha158 expression: Rsquare($close, 30)"
split_001,22,alpha158_VMA30,Size / Liquidity,alpha158,alpha158_volume_liquidity,"Qlib Alpha158 expression: Mean($volume, 30)/($volume+1e-12)"
split_001,23,alpha158_VMA60,Size / Liquidity,alpha158,alpha158_volume_liquidity,"Qlib Alpha158 expression: Mean($volume, 60)/($volume+1e-12)"
split_001,24,alpha158_VSUMD60,Size / Liquidity,alpha158,alpha158_volume_liquidity,"Qlib Alpha158 expression: (Sum(Greater($volume-Ref($volume, 1), 0), 60)-Sum(Greater(Ref($volume, 1)-$volume, 0), 60))/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)"
split_001,25,alpha360_LOW1,Other,alpha360,alpha360_low_window,"Qlib Alpha360 expression: Ref($low, 1)/$close Alpha360 batch V4 passed."
split_001,26,alpha360_VOLUME13,Size / Liquidity,alpha360,alpha360_volume_window,"Qlib Alpha360 expression: Ref($volume, 13)/($volume+1e-12) Alpha360 batch V4 passed."
split_001,27,amount_cv_20,Volatility / Risk,project_basic,liquidity,20-day coefficient of variation of trading amount.
split_001,28,amount_std_20,Other,project_basic,liquidity,20-day trading amount volatility.
split_001,29,corr_ret_amount_20,Other,project_basic,price_volume,20-day rolling correlation between return and trading amount.
split_001,30,kunquant_alpha101_alpha003,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,31,kunquant_alpha101_alpha011,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,32,kunquant_alpha101_alpha012,Reversal / Short-term Price-Volume,alpha101,alpha101,Generated from KunQuant pandas reference smoke; coverage=0.987213 V4 smoke passed for selected Alpha101 adapter factor.
split_001,33,kunquant_alpha101_alpha013,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,34,kunquant_alpha101_alpha020,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,35,kunquant_alpha101_alpha029,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,36,kunquant_alpha101_alpha034,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,37,kunquant_alpha101_alpha050,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,38,kunquant_alpha101_alpha055,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,39,kunquant_alpha101_alpha062,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
split_001,40,kunquant_alpha101_alpha094,Reversal / Short-term Price-Volume,alpha101,alpha101,Alpha101 batch V4 passed.
